Song,Count
Recordame,52
Caravan,45
Night In Tunisia,44
Black Orpheus,41
Well You Needn't,41
Billie's Bounce,37
Epistrophy,35
On Green Dolphin Street,33
Blue Bossa,32
There Will Never Be Another You,31
St Thomas,29
Invitation,26
All Of Me,25
Ornithology,25
Softly As In A Morning Sunrise,24
This I Dig Of You,24
Autumn Leaves,22
Mr P.C.,22
Cherokee,21
Four,21
Take The A Train,21
It Could Happen To You,20
On The Sunny Side Of The Street,20
Blue Monk,19
Lucky Southern,19
What Is This Thing Called Love,19
All Blues,18
Corcovado,18
Solar,18
Beautiful Love,17
Desafinado,17
Doxy,17
Moanin',17
Summertime,17
There Is No Greater Love,17
Twisted,17
Bags Groove,16
Better Get Hit In Your Soul,16
Bohemia After Dark,16
Bye Bye Blackbird,16
Footprints,16
Girl From Ipanema,16
Body And Soul,15
Afro Blue,14
All The Things You Are,14
Wave,14
You Don't Know What Love Is,14
Bernie's Tune,13
Freddie Freeloader,13
Song For My Father,13
Work Song,13
500 Miles High,12
Equinox,12
Isfahan,12
Lullaby Of Birdland,12
Nardis,12
One For Daddy-O,12
Scrapple From The Apple,12
Some Day My Prince Will Come,12
Stella By Starlight,12
Tenor Madness,12
Watermelon Man,12
Broadway,11
Chameleon,11
Days Of Wine And Roses,11
So What,11
Anthropology,10
Bye-Ya,10
How High The Moon,10
In Walked Bud,10
Milestones,10
Misty,10
Take Five,10
Beatrice,9
Blues In The Closet,9
Chitlins Con Carne,9
Honeysuckle Rose,9
Nica's Dream,9
Birk's Works,8
Comes Love,8
Fly Me To the Moon,8
I Wish I Knew How It Would Feel To Be Free,8
Just Friends,8
Sandu,8
The Chicken,8
Georgia,7
I Hear A Rhapsody,7
Little Sunflower,7
Love For Sale,7
Moonlight In Vermont,7
Night and Day,7
Our Love Is Here To Stay,7
Straight No Chaser,7
Do Nothing Till You Hear From Me,6
Donna Lee,6
Fee Fi Fo Fum,6
Foggy Day,6
For Heaven's Sake,6
Have You Met Miss Jones,6
Lover Man,6
My Little Suede Shoes,6
My Shining Hour,6
Reflections,6
Stolen Moments,6
Strasbourg St Denis,6
Tempus Fugit,6
What A Little Moonlight Can Do,6
Witch Hunt,6
Yesterdays,6
Ask Me Now,5
Au Privave,5
Bemsha Swing,5
Black Nile,5
Blue Bolivar Blues,5
Blues For Alice,5
Dont' Get Around Much Any More,5
It Don't Mean A Thing,5
Lady Bird,5
Mercy Mercy Mercy,5
My Favourite Things,5
My Funny Valentine,5
Satin Doll,5
Speak No Evil,5
Black Coffee,4
Blue In Green,4
Blue Train,4
C Jam Blues,4
Cool Blues,4
Cousin Mary,4
Five Spot After Dark,4
Hackensack,4
I Thought About You,4
If I Were A Bell,4
In A Mellow Tone ,4
In A Sentimental Mood,4
In Your Own Sweet Way,4
Mood Indigo,4
Naima,4
No Moon At All,4
On A Slow Boat To China,4
P.S. I Love You,4
Round Midnight,4
Tom Cat,4
Valse Hot,4
Woody'n You,4
Apple Core,3
At Last,3
Cantaloupe Island,3
Cheek To Cheek,3
Cheese Cake,3
Come Rain Or Come Shine,3
Freight Train,3
Groovin' High,3
How Insensitive,3
I Got Rhythm,3
Infant Eyes,3
Maiden Voyage,3
Moondance,3
Nature Boy,3
One Note Samba,3
The Lady Is A Tramp,3
What A Difference A Day Makes,3
Afternoon In Paris,2
Agua De Berber,2
Angel Eyes,2
Besame Mucho,2
Beyond The Sea,2
Blue Skies,2
Brilliant Corners,2
But Beautiful ,2
But Not For Me,2
Can't Take That Away From Me,2
Darn That Dream,2
Dolphin Dance,2
ESP,2
Everything Happens To Me,2
Gee Baby Ain't I Good To You,2
Get Happy,2
Goodbye Pork Pie Hat,2
Greensleeves,2
Hot House,2
I Got It Bad And That Ain't Good,2
Impressions,2
Jelly Roll,2
Jordu,2
Joy Spring,2
Jumpon' At The Woodside,2
Let's Fall In Love ,2
Like Someone In Love ,2
Misterioso,2
Now's The Time,2
O Grande Amor,2
Off Minor,2
Orange Colored Sky,2
Out Of Nowhere,2
Passport Blues,2
Rhythm A Ning,2
Samba De Orfeu,2
Skylark,2
Solid,2
Speak Low,2
The Nearness Of You,2
Tune up,2
Up Jumped Spring,2
What's New,2
Who Can I Turn To,2
A Child Is Born,1
Aint Misbehavin',1
Airegin,1
Alice In Wonderland,1
Alone Together,1
April In Paris,1
Autumn In New York,1
Basin Street Blues,1
Bessies Blues,1
Blue Moon,1
Blues By Five,1
Bolivia,1
Bright Mississippi,1
Bright Size Life,1
Buzzy,1
Can't Help Lovin That Man,1
Celia,1
Central Park West,1
Chega De Saudade,1
Confirmation,1
Cottontail ,1
Countdown,1
Cry Me A River,1
Dig,1
East Of The Sun And West Of The Moon,1
Easy To Love ,1
Embraceable You,1
Exactly Like You,1
Fever,1
Four on Six,1
Giant Steps,1
Gone With The Wind,1
Good Bait,1
He's A Tramp,1
Here's That Rainy Day,1
Ho Ba La La,1
How Deep Is The Ocean,1
I Can't Get Started,1
I Didn't Know What Time It Was,1
I Mean You,1
I Should Care,1
I'll Remember April,1
I'm Beginning To See The Light,1
I'm Old Fashioned ,1
Idle Moments,1
If I Should Lose You,1
It Never Entered My Mind,1
It's A Good Day,1
Jumpin' With Symphony Sid,1
Laura,1
Lazy Bird,1
Let's Face the Music and Dance,1
Locomotion,1
Manteca,1
Mean To Me,1
Melody For C,1
Moody's Mood For Love,1
Moonglow,1
My Buddy,1
My Foolish Heart,1
My One And Only Love,1
My Secret Love,1
Night Dreamer,1
Nutty,1
Oleo,1
One By One,1
One Foot In The Gutter,1
Pennies From Heaven,1
Pent Up House,1
Perdido,1
Question And Answer,1
Red Baron,1
Red Clay,1
Route 66,1
Ruby My Dear,1
Save Your Love For Me,1
Smile,1
Sophisticated Lady,1
Star Eyes,1
Stars Fell On Alabama,1
Stompin' At The Savoy,1
Stormy Monday,1
Stormy Weather,1
Sway,1
Sweet Georgia Brown,1
Taking A Chance On Love,1
Tangerine,1
Tenderly,1
That Old Black Magic,1
The End Of A Love Affair,1
They Say It's Wonderful,1
Walkin',1
Weaver Of Dreams,1
West Coast Blues,1
What A Wonderful World,1
When I Fall In Love,1
When The Saints Go Marching In,1
Why Don't You Do Right,1
With A Song In My Heart,1
Yardbird Suite,1
You Stepped Out Of A Dream,1
You've Changed,1
